Проверка отображения прогресса в личном кабинете LearnPress (тема Astra):

В профиле пользователя LearnPress (стандартная страница, обычно доступная по URL типа `/profile/` или `/user-profile/`, создаваемая и управляемая LearnPress) отображается следующая информация о прогрессе:

1.  **Вкладка "Курсы" (Courses Tab):**
    *   **Список курсов:** Отображается перечень всех курсов, на которые записан пользователь. Для каждого курса обычно указывается название и, возможно, миниатюра.
    *   **Прогресс по каждому курсу:**
        *   **Визуальный индикатор:** Часто используется progress bar (полоса прогресса), который графически показывает долю пройденного материала в курсе.
        *   **Процентное соотношение:** Рядом с progress bar или вместо него отображается точный процент завершенных элементов курса (например, "75% пройдено").
        *   **Статус курса:** Может отображаться общий статус, например, "Записан", "В процессе", "Завершено".

2.  **Детализация внутри курса (при переходе на конкретный курс из профиля или во время обучения):**
    *   **Структура курса:** Пользователь видит все разделы/модули и уроки внутри курса.
    *   **Статус уроков и квизов:**
        *   Каждый урок и квиз в структуре курса имеет визуальную отметку о его статусе:
            *   "Завершено" (например, галочка, закрашенный кружок).
            *   "Не начато" или "В процессе".
        *   Это позволяет пользователю легко определить, какие материалы он уже изучил, а какие ему еще предстоят.

3.  **Вкладка "Квизы" (Quizzes Tab) или аналогичный раздел (может быть частью общей информации по курсу):**
    *   **Список пройденных квизов:** Отображается история попыток прохождения квизов.
    *   **Полученные оценки:** Для каждой попытки квиза указывается результат (например, баллы "8/10", проценты "80%").
    *   **Статус квиза:** "Пройдено" или "Не пройдено" (если применимо).
    *   **Дата прохождения:** Дата и время сдачи квиза.
    *   **Количество попыток:** Если разрешено несколько попыток, может отображаться их количество.

4.  **Интеграция с темой Astra:**
    *   **Стилизация:** Все элементы личного кабинета LearnPress (текст, кнопки, progress bar, таблицы) наследуют базовые стили темы Astra. Это обеспечивает консистентный внешний вид с остальными страницами сайта (шрифты, цветовая схема, общие элементы дизайна).
    *   **Адаптивность:** Личный кабинет корректно отображается на различных устройствах (десктопы, планшеты, мобильные телефоны) благодаря адаптивным свойствам темы Astra и LearnPress.

Эта информация предоставляет пользователю полное и наглядное представление о его учебном прогрессе.
